file_name,dataset,div_conq,sw_size,strategy_param,dataset_length
data/SRS/Dataset_A/sig5_15_25/srs_1.txt,srs_1.txt,0,1,3,24
data/SRS/Dataset_A/sig5_15_25/srs_1.txt,srs_1.txt,0,5,3,24
data/SRS/Dataset_A/sig5_15_25/srs_1.txt,srs_1.txt,0,10,3,24
data/SRS/Dataset_A/sig5_15_25/srs_1.txt,srs_1.txt,1,1,3,24
data/SRS/Dataset_A/sig5_15_25/srs_1.txt,srs_1.txt,1,5,3,24
data/SRS/Dataset_A/sig5_15_25/srs_1.txt,srs_1.txt,1,10,3,24
data/SRS/Dataset_A/sig5_15_25/srs_10.txt,srs_10.txt,0,1,3,23
data/SRS/Dataset_A/sig5_15_25/srs_10.txt,srs_10.txt,0,10,3,23
data/SRS/Dataset_A/sig5_15_25/srs_10.txt,srs_10.txt,1,1,3,23
data/SRS/Dataset_A/sig5_15_25/srs_101.txt,srs_101.txt,0,1,2,19
data/SRS/Dataset_A/sig5_15_25/srs_101.txt,srs_101.txt,0,5,2,19
data/SRS/Dataset_A/sig5_15_25/srs_101.txt,srs_101.txt,0,10,2,19
data/SRS/Dataset_A/sig5_15_25/srs_101.txt,srs_101.txt,1,1,2,19
data/SRS/Dataset_A/sig5_15_25/srs_101.txt,srs_101.txt,1,5,2,19
data/SRS/Dataset_A/sig5_15_25/srs_101.txt,srs_101.txt,1,10,2,19
data/SRS/Dataset_A/sig5_15_25/srs_110.txt,srs_110.txt,0,1,3,22
data/SRS/Dataset_A/sig5_15_25/srs_110.txt,srs_110.txt,0,10,3,22
data/SRS/Dataset_A/sig5_15_25/srs_110.txt,srs_110.txt,1,1,3,22
data/SRS/Dataset_A/sig5_15_25/srs_110.txt,srs_110.txt,1,10,3,22
data/SRS/Dataset_A/sig5_15_25/srs_124.txt,srs_124.txt,0,1,3,25
data/SRS/Dataset_A/sig5_15_25/srs_124.txt,srs_124.txt,0,5,3,25
data/SRS/Dataset_A/sig5_15_25/srs_124.txt,srs_124.txt,0,10,3,25
data/SRS/Dataset_A/sig5_15_25/srs_124.txt,srs_124.txt,1,1,3,25
data/SRS/Dataset_A/sig5_15_25/srs_124.txt,srs_124.txt,1,5,3,25
data/SRS/Dataset_A/sig5_15_25/srs_124.txt,srs_124.txt,1,10,3,25
data/SRS/Dataset_A/sig5_15_25/srs_133.txt,srs_133.txt,0,1,3,22
data/SRS/Dataset_A/sig5_15_25/srs_133.txt,srs_133.txt,1,1,3,22
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,0,1,2,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,0,1,3,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,0,5,2,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,0,5,3,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,0,10,2,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,0,10,3,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,1,1,2,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,1,1,3,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,1,5,2,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,1,5,3,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,1,10,2,24
data/SRS/Dataset_A/sig5_15_25/srs_134.txt,srs_134.txt,1,10,3,24
data/SRS/Dataset_A/sig5_15_25/srs_146.txt,srs_146.txt,0,1,3,23
data/SRS/Dataset_A/sig5_15_25/srs_146.txt,srs_146.txt,0,5,3,23
data/SRS/Dataset_A/sig5_15_25/srs_146.txt,srs_146.txt,0,10,3,23
data/SRS/Dataset_A/sig5_15_25/srs_146.txt,srs_146.txt,1,1,3,23
data/SRS/Dataset_A/sig5_15_25/srs_146.txt,srs_146.txt,1,5,3,23
data/SRS/Dataset_A/sig5_15_25/srs_146.txt,srs_146.txt,1,10,3,23
